id,分類,機能名,概要,入力,出力,利用者
FUN-001,レース選択,レース一覧表示,開催される競馬レースの一覧をユーザーに表示する。,なし,競馬レースの一覧,競馬愛好者、初心者、分析好きな競馬ファン
FUN-002,レース選択,レース選択受付,ユーザーが選択したレースを受け付ける。,選択されたレースID,選択されたレースID,競馬愛好者、初心者、分析好きな競馬ファン
FUN-003,データ取得,出馬表データ取得,選択されたレースの出馬表データを取得する。,レースID,出馬表データ,競馬愛好者、初心者、分析好きな競馬ファン
FUN-004,データ取得,オッズデータ取得,選択されたレースのオッズデータをnetkeiba.comまたはJRAから取得する。,レースID,オッズデータ,競馬愛好者、初心者、分析好きな競馬ファン
FUN-005,データ管理,オッズデータ保存,取得したオッズデータをデータベースに保存する。,オッズデータ,なし,競馬愛好者、初心者、分析好きな競馬ファン
FUN-006,データ表示,出馬表表示,取得した出馬表データをユーザーに表示する。,出馬表データ,出馬表,競馬愛好者、初心者、分析好きな競馬ファン
FUN-007,予想入力,単勝予想確率入力受付,ユーザーが入力した各馬の単勝予想確率を受け付ける。,馬ID、単勝予想確率,馬ID、単勝予想確率,競馬愛好者、分析好きな競馬ファン
FUN-008,予想入力,複勝予想確率入力受付,ユーザーが入力した各馬の複勝予想確率を受け付ける。,馬ID、複勝予想確率,馬ID、複勝予想確率,競馬愛好者、分析好きな競馬ファン
FUN-009,予算・リスク入力,予算入力受付,ユーザーが入力した馬券購入予算を受け付ける。,予算額,予算額,競馬愛好者、初心者、分析好きな競馬ファン
FUN-010,予算・リスク入力,リスクリワードレシオ入力受付,ユーザーが入力したリスクリワードレシオを受け付ける。,リスクリワードレシオ,リスクリワードレシオ,競馬愛好者、初心者、分析好きな競馬ファン
FUN-011,期待値計算,馬券期待値計算,ユーザーの予想確率とオッズデータに基づいて、各馬券の期待値を計算する。,単勝/複勝予想確率、オッズデータ,各馬券の期待値,競馬愛好者、初心者、分析好きな競馬ファン
FUN-012,馬券構成,ポートフォリオ理論適用,ポートフォリオ理論に基づき、リスク分散のための馬券構成を計算する。,各馬券の期待値,リスク分散された馬券構成,競馬愛好者、分析好きな競馬ファン
FUN-013,馬券構成,モンテカルロシミュレーション,モンテカルロシミュレーションを用いて、馬券購入結果をシミュレートする。,各馬券の期待値、ポートフォリオ,シミュレーション結果,分析好きな競馬ファン
FUN-014,馬券構成,数理最適化,線形計画法や動的計画法を用いて、制約条件の中で期待リターンを最大化する馬券構成を計算する。,各馬券の期待値、予算、リスクリワードレシオ,最適化された馬券構成,分析好きな競馬ファン
FUN-015,説明機能,LLMによる説明生成,提案された馬券構成の根拠や戦略をLLMを用いて説明する。,最適化された馬券構成,馬券構成の説明文,競馬愛好者、初心者、分析好きな競馬ファン
FUN-016,データ表示,馬券情報表示,計算された馬券の種類、組み合わせ、オッズ値、的中確率、期待値、推奨資金配分をユーザーに表示する。,馬券情報,馬券情報のリスト,競馬愛好者、初心者、分析好きな競馬ファン
FUN-017,データ表示,合計投資額表示,提案された馬券構成における合計投資額を表示する。,馬券構成,合計投資額,競馬愛好者、初心者、分析好きな競馬ファン
FUN-018,データ表示,合計期待リターン表示,提案された馬券構成における合計期待リターンを表示する。,馬券構成,合計期待リターン,競馬愛好者、初心者、分析好きな競馬ファン
FUN-019,データ表示,期待リスクリワード比表示,提案された馬券構成における期待リスクリワード比を表示する。,馬券構成,期待リスクリワード比,競馬愛好者、初心者、分析好きな競馬ファン
FUN-020,データ表示,馬券構成表示,ユーザーが入力した内容と計算された馬券構成を一覧で表示する。,ユーザー入力、計算された馬券構成,馬券構成の一覧,競馬愛好者、初心者、分析好きな競馬ファン